"pid";"nome_processo";"data_hora";"uso_cpu";"uso_memoria";"memoria_virtual";"status_abertura";"gravacao_disco";"temp_execucao";"fk_maquinaP";"fk_empresaP"
11464;"TiWorker.exe";"2023-12-05 13:55:03";"0.0";0.0;0.0;0;"10112059904";0.0;1;1
11468;"";"2023-12-05 00:00:00";"0.7924883990719258";0.019879564200684447;76156928.0;0;"";0.0;1;1
11476;"svchost.exe";"2023-12-05 14:06:41";"0.0011628850613542312";0.01065151958407043;95817728.0;1;"10404907008";0.0;1;1
11532;"UserOOBEBroker.exe";"2023-12-05 14:06:42";"0.00024953847858385917";0.0032887180282613775;97714176.0;1;"10404907008";0.0;1;1
11584;"svchost.exe";"2023-12-05 14:06:44";"0.0006396030407559211";0.006282923994290393;70074368.0;1;"10404907008";0.0;1;1
11628;"svchost.exe";"2023-12-05 14:06:46";"0.0";0.0;0.0;0;"10404907008";0.0;1;1
11680;"dllhost.exe";"2023-12-05 14:06:48";"0.0017165056635339588";0.017474382359120154;183578624.0;1;"10404907008";0.0;1;1
11716;"mysqld.exe";"2023-12-05 14:06:50";"0.0";0.0;0.0;0;"10404907008";0.0;1;1
11920;"idea64.exe";"2023-12-05 14:06:51";"8.062614922917083";18.670886697282832;2254639104.0;1;"10404907008";0.0;1;1
11940;"svchost.exe";"2023-12-05 14:06:53";"0.0";0.0;0.0;0;"10404907008";0.0;1;1
12016;"chrome.exe";"2023-12-05 14:06:55";"0.052951827627263";0.5732186437915876;2222624768.0;1;"10404907008";0.0;1;1
12148;"chrome.exe";"2023-12-05 14:06:57";"0.30892471532702087";1.0352589840904585;2202636288.0;1;"10404907008";0.0;1;1
12256;"svchost.exe";"2023-12-05 14:01:15";"0.0";0.0;0.0;0;"10281388032";0.0;1;1
